Drift ID,Trip ID,ID Cell per Trip,Grid Cell ID,Site (MPA/ REF),Drifting or Holding Station,Start Search Time,End Search Time,Start Time,End Time,Drift Time (hrs),BAR (+/- mins) Fishing Time,FLY (+/- mins) Fishing Time,BAT (+/- mins) Fishing Time,DPR (+/- mins) Fishing Time,SBT (+/- mins) Fishing Time,Total (+/-) Time (hrs),Number of BAT fishers,Number of FLY fishers,Number of DPR fishers,Number of SBT fishers,Number of BAR fishers,Total . Anglers Fishing,Total Angler Hrs,ST_LatDD,ST_LonDD,Start Lat/Lon GPS Waypoint,Start Lat/Lon waypoint_link,End_LatDD,End_LonDD,End Lat/Lon GPS Waypoint,End Lat/Lon waypoint_link,Drift Length (m),Recorder,Tag Crew,"Surface T (instrument, C)","Depth T ( instrument, C)","SWT (vessel, F)",Relief (1-3),Start Depth (ft),End Depth (ft),Lingcod Bar Weight (oz),Lead Weight (oz),SBT Tail Length (in),SBT Head Weight (oz),. Seals,. Sea Lions,Total Fishes Caught,Cloud Cover (0-3),Obs Wind Speed (kt),Obs Wind Direction,Obs Swell Height (ft),Secchi Depth (m),Comments,Excluded Drift Comment,Exclude:Gear-Specific CPUE
AIM0908200201,AIT01_20,AIM09082002,AI02,MPA,Drift,,,12:20:00,12:35:00,0.25,0,0,0,0,0,0,3,0,2,2,0,7,1.75,34.01921,-119.37238,156.4,090820_156.4,34.01911,-119.37280,166.4,090820_166.4,40,CH,"JC, CJ",,,65,1,87,86,,8,4-6,1.5,,1,54,0,5,W,2,,#3 SWITCH TO DPR; #1 TO BAT; #6 TO SBT,,FALSE
AIM0908200202,AIT01_20,AIM09082002,AI02,MPA,Drift,,,12:42:00,12:59:00,0.283333333,0,0,-4,-3,-2,-0.15,3,0,2,2,0,7,1.833333333,34.02006,-119.37059,167.4,090820_167.4,34.01928,-119.36897,175.4,090820_175.4,173,CH,"JC, CJ",,,65,1,95,76,,8,4-6,1.5,,1,39,0,5,W,2,,#1 OFF 4 MIN; #4 OFF 3 MIN; #2 OFF 2 MIN; #1 lost spomething big at depth,,FALSE
AIM0908200203,AIT01_20,AIM09082002,AI02,MPA,Drift,,,13:08:00,13:17:00,0.15,0,0,-3,-2,-2,-0.116666667,3,0,2,2,0,7,0.933333333,34.01612,-119.36996,176.4,090820_176.4,34.01692,-119.36848,179.4,090820_179.4,163,CH,"JC, CJ",,,65,1,26,29,,8,4-6,1.5,,1,10,0,5,W,2,,#3 USING WRONG SIZE HOOK; #1 ONLY USING 1 BAT; ALL STATIONS OFF 1 MIN,,FALSE
AIM0908200204,AIT01_20,AIM09082002,AI02,MPA,Drift,,,13:25:00,13:28:00,0.05,0,0,0,0,0,0,3,0,2,2,0,7,0.35,34.01966,-119.37207,180.4,090820_180.4,34.01948,-119.37162,182.4,090820_182.4,46,CH,"JC, CJ",,,65,1,82,89,,8,4-6,1.5,,0,7,0,5,W,2,,#1 USING 2 HOOKS,,FALSE
AIM0908200205,AIT01_20,AIM09082002,AI02,MPA,Drift,,,13:32:00,13:37:00,0.083333333,0,0,1,-2,0,-0.016666667,3,0,2,2,0,7,0.566666667,34.02065,-119.37051,183.4,090820_183.4,34.02015,-119.36980,185.4,090820_185.4,86,CH,"JC, CJ",,,65,1,71,76,,8,4-6,1.5,,1,16,0,5,W,2,,#3 ONLY USING 1 HOOK; #4 OFF 2 MIN; #1 ON +1 MIN,,FALSE
AIM0908200601,AIT01_20,AIM09082006,AI06,MPA,Drift,,,11:07:00,11:25:00,0.3,0,0,-4,-4,-13,-0.35,2,0,2,4,0,8,2.05,34.01694,-119.36113,135.4,090820_135.4,34.01690,-119.36044,143.4,090820_143.4,64,CH,"JC, CJ",,,64,1,42,42,,8,4-6,1.5,,0,40,0,5,W,2,,#3 SWITCHED TO SBT;  EVERYONE OFF 2 MIN TO RESET; #7 OFF 5 min; #3 on +1 min,,FALSE
AIM0908200603,AIT01_20,AIM09082006,AI06,MPA,Drift,,,11:47:00,11:53:00,0.1,0,0,0,0,0,0,1,0,2,4,0,7,0.7,34.01698,-119.35927,150.4,090820_150.4,34.01728,-119.35931,151.4,090820_151.4,34,CH,"JC, CJ",,,65,1,36,39,,8,4-6,1.5,,0,5,0,5,W,2,,#6 OFF,,FALSE
AIM0908200604,AIT01_20,AIM09082006,AI06,MPA,Drift,,,11:56:30,12:06:30,0.166666667,0,0,0,0,0,0,2,0,2,4,0,8,1.333333333,34.01774,-119.36320,151.4,090820_151.4,34.01757,-119.36254,155.4,090820_155.4,64,CH,"JC, CJ",,,65,1,32,34,,8,4-6,1.5,,0,22,0,5,W,2,,,,FALSE
AIM090820MM01,AIT01_20,AIM090820MM,AIMM,MPA,Drift,,,11:27:30,11:44:00,0.275,0,0,-4,-6,-8,-0.3,2,0,2,4,0,8,1.9,34.01686,-119.36114,144.4,090820_144.4,34.01660,-119.36163,149.4,090820_149.4,54,CH,"JC, CJ",,,65,1,28,30,,8,4-6,1.5,,0,29,0,5,W,2,,#8 OFF 2 MIN; ALL ANGLERS OFF 2 MIN TO RESET; #8 WHT 38 Lost at surface,"AIM0908200602; Completely out of cell, with start/end approx. 39 m outside of cell",FALSE
AIM0910200501,AIT02_20,AIM09102005,AI05,MPA,Drift,,,12:19:00,12:28:00,0.15,0,0,0,0,0,0,2,0,2,2,0,6,0.9,34.01589,-119.38725,237.4,091020_237.4,34.01530,-119.38570,240.4,091020_240.4,158,CH,"CJ, PC, JC",,,68,1,73,74,,6,4-6,2,,0,18,0,0,N/A,2,,,,FALSE
