Common.Name,ScientificName_accepted,source_LW_LC,WL_a,WL_b,WL_W_units,WL_L_units,WL_input_length,WL_Reference_Notes,LC_a,LC_b,LC_type_for_WL,LL_Reference_Notes_for_WL,LL_Equation_for_WL,Opposite_LL_Equation_for_WL,
Barred Sand Bass,Paralabrax nebulifer,VRG,0.0000289,2.9522,g,mm,SL,Williams et al. 2013,1.1537,0.47728,REVERSE,Williams et al. 2013,TL= 1.1537 *SL + 4.7728,SL=(TL-0.47728)/1.1537,
Bat Ray,Myliobatis californica,VRG,0.0000232,2.9433,g,mm,DW,Williams et al. 2013,0,0,0,0,0,,
Big Skate,Beringraja binoculata,VRG,2.43E-08,2.8549,kg,mm,TL,RecFIN,0,0,0,0,0,,
Bigmouth Sole,Hippoglossina stomata,VRG,0.005004,3.187702,g,cm,TL,Love unpublished data,,,,,,,
Black Rockfish,Sebastes melanops,VRG,0.00000581,3.187,g,mm,TL,Lea et al. 1999,0,0,0,0,0,,
Black Seaperch,Embiotoca jacksoni,VRG,0.000008,3.3244,g,mm,SL,Miller et al. 2008,0.799,-0.407,TYPICAL,RecFIN,(SL = aTL+b)cm,SL=(0.799*TL-0.407)*10,cm
Black-and-Yellow Rockfish,Sebastes chrysomelas,VRG,0.0000112,3.114,g,mm,TL,Lea et al. 1999,0,0,0,0,0,,
Blacksmith,Chromis punctipinnis,VRG,0.0000269,3.0177,g,mm,SL,Williams et al. 2013,1.27,0,REVERSE,FishBase,TL=1.27SL,SL=TL/1.27,
Blue Rockfish,Sebastes mystinus,VRG,0.00000977,3.09,g,mm,TL,Lea et al. 1999,0,0,0,0,0,,
Bocaccio,Sebastes paucispinis,VRG,5.83E-09,3.0941,kg,mm,TL,RecFIN,0,0,0,0,0,,
Brown Rockfish,Sebastes auriculatus,VRG,0.044,2.74,g,cm,TL,Love and Johnson 1998,0,0,0,0,0,,
Buffalo Sculpin,Enophrys bison,VRG,1.79E-08,2.896,kg,mm,TL,RecFIN,0,0,0,0,0,,
Bull Sculpin,Enophrys taurina,VRG,0.036821,2.747424,g,cm,TL,Love unpublished data,,,,,,,
Cabezon,Scorpaenichthys marmoratus,VRG,0.0000055,3.185,g,mm,TL,Lea et al. 1999,0,0,0,0,0,,
Calico Rockfish,Sebastes dallii,VRG,0.00945,3.21542,g,cm,TL,Love et al. 1990,0,0,0,0,0,,
