Species_Code,Common_Name,Scientific_Name,Kingdom,Phylum,Class,Order,Family,Genus,Species,taxanomic_source,taxanomic_id,species_definition
ANC,Northern Anchovy,Engraulis mordax,Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax,www.marinespecies.org,272286,Engraulis mordax
BAR,Pacific Barracuda,Sphyraena argentea,Animalia,Chordata,Actinopterygii,Perciformes ,Sphyraenidae,Sphyraena,Sphyraena argentea,www.marinespecies.org,273978,Sphyraena argentea
BAY,Black-and-Yellow Rockfish,Sebastes chrysomelas,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes chrysomelas,www.marinespecies.org,240737,Sebastes chrysomelas
BCO,Bocaccio,Sebastes paucispinis,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes paucispinis,www.marinespecies.org,274833,Sebastes paucispinis
BID,UnID Blue Rockfish,Sebastes mystinus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes mystinus,www.marinespecies.org,274823,Sebastes mystinus
BLA,Black Rockfish,Sebastes melanops,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes melanops,www.marinespecies.org,274817,Sebastes melanops
BLM,Blacksmith,Chromis punctipinnis,Animalia,Chordata,Actinopterygii,Perciformes ,Pomacentridae,Chromis,Chromis punctipinnis,www.marinespecies.org,273751,Chromis punctipinnis
BLU,Blue Rockfish,Sebastes mystinus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes mystinus,www.marinespecies.org,274823,Sebastes mystinus
BMS,Bigmouth Sole,Hippoglossina stomata,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Hippoglossina ,Hippoglossina stomata,www.marinespecies.org,275827,Hippoglossina stomata
BSB,Barred Sand Bass,Paralabrax nebulifer,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,Paralabrax,Paralabrax nebulifer,www.marinespecies.org,282059,Paralabrax nebulifer
BSK,Big Skate,Beringraja binoculata,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,Beringraja,Beringraja binoculata,www.marinespecies.org,1021330,Beringraja binoculata
BSP,Black Seaperch,Embiotoca jacksoni,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotoca,Embiotoca jacksoni,www.marinespecies.org,240746,Embiotoca jacksoni
BUF,Buffalo Sculpin,Enophrys bison,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Enophrys ,Enophrys bison,www.marinespecies.org,275355,Enophrys bison
BUS,Bull Sculpin,Enophrys taurina,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Enophrys ,Enophrys taurina,www.marinespecies.org,275356,Enophrys taurina
BWN,Brown Rockfish,Sebastes auriculatus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes auriculatus,www.marinespecies.org,274773,Sebastes auriculatus
CAL,Calico Rockfish,Sebastes dalli,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes dalli,www.marinespecies.org,401008,Sebastes dalli
CBZ,Cabezon,Scorpaenichthys marmoratus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae ,Scorpaenichthys,Scorpaenichthys marmoratus,www.marinespecies.org,282726,Scorpaenichthys marmoratus
CHN,China Rockfish,Sebastes nebulosus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes nebulosus,www.marinespecies.org,274824,Sebastes nebulosus
CHP,Chilipepper Rockfish,Sebastes goodei,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes goodei,www.marinespecies.org,274798,Sebastes goodei
CNY,Canary Rockfish,Sebastes pinniger,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes pinniger,www.marinespecies.org,274836,Sebastes pinniger
CPR,Copper Rockfish,Sebastes caurinus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes caurinus,www.marinespecies.org,274780,Sebastes caurinus
CSA,Chinook Salmon,Oncorhynchus tshawytscha,Animalia,Chordata,Actinopterygii,Salmoniformes ,Salmonidae,Oncorhynchus ,Oncorhynchus tshawytscha,www.marinespecies.org,158075,Oncorhynchus tshawytscha
CSC,California Scorpionfish,Scorpaena guttata,Animalia,Chordata,Actinopterygii,Scorpaeniformes ,Scorpaenidae,Scorpaena,Scorpaena guttata,www.marinespecies.org,274713,Scorpaena guttata
DEA,Deacon Rockfish,Sebastes diaconus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes diaconus,www.marinespecies.org,1384909,Sebastes diaconus
ESL,English Sole,Parophrys vetulus,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Parophrys,Parophrys vetulus,www.marinespecies.org,254393,Parophyrs vetulus
FAN,Fantail Sole,Xystreurys liolepis,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae ,Xystreurys,Xystreurys liolepis,www.marinespecies.org,283199,Xystreurys liolepis
FLG,Flag Rockfish,Sebastes rubrivinctus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes rubrivinctus,www.marinespecies.org,1044069,Sebastes rubrivinctus
FRK,Freckled Rockfish,Sebastes lentiginosus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes lentiginosus,www.marinespecies.org,274811,Sebastes lentiginosus
FST,Finescale Triggerfish,Balistes polylepis,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Balistidae,Balistes,Balistes polylepis,www.marinespecies.org,275234,Balistes polylepis
GAR,Garibaldi,Hypsypops rubicundus,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Hypsypops,Hypsypops rubicundus,www.marinespecies.org,281130,Hypsypops rubicundus
GPR,Gopher Rockfish,Sebastes carnatus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes carnatus,www.marinespecies.org,274779,Sebastes carnatus
GRS,Grass Rockfish,Sebastes rastrelliger,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes rastrelliger,www.marinespecies.org,274839,Sebastes rastrelliger
GSB,Giant Sea Bass,Stereolepis gigas,Animalia,Chordata,Actinopterygii,Perciformes,Polyprionidae,Stereolepis,Stereolepis gigas,www.marinespecies.org,282884,Stereolepis gigas
HAL,California Halibut,Paralichthys californicus,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Paralichthys,Paralichthys californicus,www.marinespecies.org,275809,Paralichthys californicus
HCR,Honeycomb Rockfish,Sebastes umbrosus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes umbrosus,www.marinespecies.org,274862,Sebastes umbrosus
HLF,Halfmoon,Medialuna californiensis,Animalia,Chordata,Actinopterygii,Perciformes,Kyphosidae,Medialuna ,Medialuna californiensis,www.marinespecies.org,281541,Medialuna californiensis
JMK,Jack Mackerel,Trachurus symmetricus,Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,Trachurus ,Trachurus symmetricus,www.marinespecies.org,273305,Trachurus symmetricus
JSM,Jack Smelt,Atherinopsis californiensis,Animalia,Chordata,Actinopterygii,Atheriniformes,Atherinidae ,Atherinopsis,Atherinopsis californiensis,www.marinespecies.org,279813,Atherinopsis californiensis
KGL,Kelp Greenling,Hexagrammos decagrammus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Hexagrammos ,Hexagrammos decagrammus,www.marinespecies.org,240732,Hexagrammos decagrammus
